,true_LocalKey35,pred_LocalKey35,true_PrimaryDegree22,pred_PrimaryDegree22,true_SecondaryDegree22,pred_SecondaryDegree22,true_Inversion4,pred_Inversion4,true_ChordQuality15,pred_ChordQuality15,true_ChordRoot35,pred_ChordRoot35,LocalKey35,PrimaryDegree22,SecondaryDegree22,Inversion4,ChordQuality15,ChordRoot35,Degree,RomanNumeral
44,c,C,#7,7,2,None,3,1,diminished seventh chord,diminished seventh chord,C#,E,False,False,False,False,True,False,False,False
45,c,C,#7,#7,2,6,3,1,diminished seventh chord,diminished seventh chord,C#,C#,False,True,False,False,True,True,False,False
46,c,C,5,#7,2,6,0,0,major triad,diminished seventh chord,A,C#,False,False,False,True,False,False,False,False
47,c,C,#7,#7,2,6,2,1,diminished seventh chord,diminished seventh chord,C#,C#,False,True,False,False,True,True,False,False
48,c,c,5,5,5,None,1,1,dominant seventh chord,major triad,D,D,True,True,False,True,False,True,False,False
49,c,c,5,5,5,None,1,1,dominant seventh chord,major triad,D,D,True,True,False,True,False,True,False,False
50,c,c,5,5,5,None,1,1,dominant seventh chord,dominant seventh chord,D,D,True,True,False,True,True,True,False,False
51,c,c,5,#7,5,None,1,1,dominant seventh chord,diminished seventh chord,D,D,True,False,False,True,False,True,False,False
52,c,c,#7,7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,D,True,False,True,False,True,False,False,False
53,c,c,#7,#7,None,None,2,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
54,c,c,#7,#7,None,None,1,1,diminished triad,diminished seventh chord,B,B,True,True,True,True,False,True,True,False
55,c,c,#7,#7,None,None,1,1,diminished triad,diminished seventh chord,B,B,True,True,True,True,False,True,True,False
56,c,c,#7,#7,None,None,0,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
57,c,c,#7,#7,None,None,0,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
58,c,c,#7,#7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
59,c,c,#7,#7,None,None,3,1,diminished seventh chord,diminished seventh chord,B,B,True,True,True,False,True,True,True,False
60,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
61,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
62,c,c,4,1,None,None,1,0,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
63,c,c,4,2,None,None,1,0,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
64,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
65,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
66,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
67,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
68,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,True,False,True,True,True,True,False,False
69,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,True,False,True,True,True,True,False,False
70,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,True,False,True,True,True,True,False,False
71,c,c,6,1,None,None,0,0,major triad,major triad,A-,A-,True,False,True,True,True,True,False,False
72,c,c,6,1,None,None,0,0,major triad,major triad,A-,C,True,False,True,True,True,False,False,False
73,c,c,6,1,None,None,0,0,major triad,minor triad,A-,C,True,False,True,True,False,False,False,False
74,c,c,6,1,None,None,0,0,major triad,minor triad,A-,C,True,False,True,True,False,False,False,False
75,c,c,2,2,None,None,1,0,half-diminished seventh chord,minor triad,D,D,True,True,True,False,False,True,True,False
76,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
77,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
78,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
79,c,c,5,1,None,None,0,0,dominant seventh chord,minor triad,G,C,True,False,True,True,False,False,False,False
80,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
81,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
82,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
83,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
84,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
85,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
86,c,c,#7,5,4,None,2,0,diminished triad,dominant seventh chord,E,C,True,False,False,False,False,False,False,False
87,c,c,#7,5,4,None,2,0,diminished triad,dominant seventh chord,E,C,True,False,False,False,False,False,False,False
88,c,c,4,4,None,None,1,0,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
89,c,c,4,4,None,None,1,0,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
90,c,c,#7,5,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
91,c,c,#7,5,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
92,c,c,4,4,None,None,0,0,minor triad,minor triad,F,F,True,True,True,True,True,True,True,True
93,c,c,4,2,None,None,0,0,minor triad,minor triad,F,F,True,False,True,True,True,True,False,False
94,c,c,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,G,True,False,True,False,False,False,False,False
95,c,c,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,G,True,False,True,False,False,False,False,False
96,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
97,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
98,c,C,1,1,None,None,0,0,major triad,major triad,C,C,False,True,True,True,True,True,True,False
99,c,c,1,1,None,None,0,0,major triad,major triad,C,C,True,True,True,True,True,True,True,True
100,c,c,1,1,None,None,0,0,major triad,major triad,C,C,True,True,True,True,True,True,True,True
101,c,c,1,5,None,None,0,0,major triad,major triad,C,C,True,False,True,True,True,True,False,False
102,c,c,#7,5,4,4,2,0,diminished triad,dominant seventh chord,E,C,True,False,True,False,False,False,False,False
103,c,c,#7,5,4,None,2,0,diminished triad,dominant seventh chord,E,C,True,False,False,False,False,False,False,False
104,c,c,4,4,None,None,1,2,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
105,c,c,4,1,None,None,1,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
106,c,c,#7,5,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
107,c,c,#7,1,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
108,c,c,4,4,None,None,0,2,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
109,c,c,4,2,None,None,0,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
110,c,c,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,G,True,False,True,False,False,False,False,False
111,c,c,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,G,True,False,True,False,False,False,False,False
112,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
113,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
114,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
115,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
116,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
117,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
118,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
119,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
120,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
121,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
122,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
123,c,c,1,1,None,None,1,1,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
124,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
125,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
126,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
127,c,c,2,2,None,None,1,1,diminished triad,minor triad,D,D,True,True,True,True,False,True,True,False
128,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
129,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
130,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
131,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
132,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
133,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
134,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
135,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
136,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
137,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
138,c,c,7,7,5,5,0,0,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,True,True,True,True,True
139,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
140,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
141,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
142,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
143,c,c,5,5,None,None,0,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
144,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
145,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
146,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
147,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
148,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
149,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
150,c,c,#7,5,4,4,2,0,diminished triad,dominant seventh chord,E,C,True,False,True,False,False,False,False,False
151,c,c,#7,5,4,4,2,0,diminished triad,dominant seventh chord,E,C,True,False,True,False,False,False,False,False
152,c,c,4,4,None,None,1,0,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
153,c,c,4,4,None,None,1,0,minor triad,minor triad,F,F,True,True,True,False,True,True,True,False
154,c,C,#7,5,4,None,0,0,diminished triad,major triad,E,C,False,False,False,True,False,False,False,False
155,c,c,#7,5,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
156,c,c,4,4,None,None,0,0,minor triad,minor triad,F,F,True,True,True,True,True,True,True,True
157,c,c,4,2,None,None,0,0,minor triad,minor triad,F,F,True,False,True,True,True,True,False,False
158,c,C,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,B,False,False,True,False,False,True,False,False
159,c,C,#7,5,None,None,1,0,diminished triad,dominant seventh chord,B,G,False,False,True,False,False,False,False,False
160,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
161,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
162,c,c,1,1,None,None,0,0,major triad,major triad,C,C,True,True,True,True,True,True,True,True
163,c,c,1,1,None,None,0,0,major triad,major triad,C,C,True,True,True,True,True,True,True,True
164,c,c,1,1,None,None,0,0,major triad,major triad,C,C,True,True,True,True,True,True,True,True
165,c,c,1,5,None,None,0,0,major triad,major triad,C,C,True,False,True,True,True,True,False,False
166,c,c,#7,5,4,4,2,0,diminished triad,dominant seventh chord,E,C,True,False,True,False,False,False,False,False
167,c,c,#7,5,4,None,2,0,diminished triad,dominant seventh chord,E,C,True,False,False,False,False,False,False,False
168,c,c,4,1,None,None,1,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
169,c,c,4,1,None,None,1,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
170,c,c,#7,5,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
171,c,c,#7,1,4,None,0,0,diminished triad,major triad,E,C,True,False,False,True,False,False,False,False
172,c,c,4,1,None,None,0,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
173,c,c,4,1,None,None,0,2,minor triad,minor triad,F,F,True,False,True,False,True,True,False,False
174,c,c,#7,5,None,None,1,2,diminished triad,minor triad,B,G,True,False,True,False,False,False,False,False
175,c,c,#7,5,None,None,1,0,diminished triad,minor triad,B,G,True,False,True,False,False,False,False,False
176,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
177,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
178,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
179,c,c,1,1,None,None,0,0,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
180,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
181,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
182,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
183,c,c,5,5,None,None,2,2,dominant seventh chord,dominant seventh chord,G,G,True,True,True,True,True,True,True,True
184,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
185,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
186,c,c,1,1,None,None,1,2,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
187,c,c,1,1,None,None,1,1,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
188,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
189,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
190,c,c,2,2,None,None,1,1,diminished triad,half-diminished seventh chord,D,D,True,True,True,True,False,True,True,False
191,c,c,2,2,None,None,1,1,diminished triad,minor triad,D,D,True,True,True,True,False,True,True,False
192,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
193,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
194,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
195,c,c,1,1,None,None,2,2,minor triad,minor triad,C,C,True,True,True,True,True,True,True,True
196,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
197,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
198,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
199,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
200,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
201,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
202,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
203,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
204,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
205,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
206,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
207,c,c,7,7,5,5,0,1,diminished seventh chord,diminished seventh chord,F#,F#,True,True,True,False,True,True,True,False
208,c,c,5,5,None,None,0,0,major triad,dominant seventh chord,G,G,True,True,True,True,False,True,True,False
209,c,c,5,5,None,None,0,0,major triad,major triad,G,G,True,True,True,True,True,True,True,True
210,c,c,5,5,None,None,0,0,major triad,major triad,G,G,True,True,True,True,True,True,True,True
211,c,c,5,5,None,None,0,0,major triad,major triad,G,G,True,True,True,True,True,True,True,True
212,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
213,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
214,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
215,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
216,c,c,1,5,None,None,2,0,minor triad,major triad,C,G,True,False,True,False,False,False,False,False
217,c,c,1,1,None,None,2,0,minor triad,minor triad,C,G,True,True,True,False,True,False,True,False
218,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
219,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
220,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
221,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
222,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
223,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
224,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
225,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
226,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
227,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
228,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
229,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
230,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
231,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
232,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
233,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
234,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
235,c,c,1,5,None,None,2,0,minor triad,minor triad,C,G,True,False,True,False,True,False,False,False
236,c,c,#4,#4,None,None,1,1,German augmented sixth chord,minor triad,F#,F#,True,True,True,True,False,True,True,False
237,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
238,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
239,c,c,#4,#4,None,None,1,1,German augmented sixth chord,German augmented sixth chord,F#,F#,True,True,True,True,True,True,True,True
240,c,c,5,5,None,None,0,0,major triad,minor triad,G,G,True,True,True,True,False,True,True,False
241,c,c,5,5,None,None,0,0,major triad,major triad,G,G,True,True,True,True,True,True,True,True
242,c,c,5,5,None,None,0,0,major triad,dominant seventh chord,G,G,True,True,True,True,False,True,True,False
243,c,c,5,5,None,None,0,1,major triad,dominant seventh chord,G,G,True,True,True,False,False,True,True,False
244,c,c,5,5,None,None,0,1,major triad,dominant seventh chord,G,G,True,True,True,False,False,True,True,False
245,c,c,5,5,None,None,0,1,major triad,dominant seventh chord,G,G,True,True,True,False,False,True,True,False
246,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
247,c,c,5,5,None,None,0,1,major triad,major triad,G,G,True,True,True,False,True,True,True,False
248,c,c,1,5,None,None,2,1,minor triad,major triad,C,G,True,False,True,False,False,False,False,False
249,c,c,1,5,None,None,2,1,minor triad,minor triad,C,G,True,False,True,False,True,False,False,False
250,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
251,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
252,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
253,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
254,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
255,c,c,1,1,None,None,2,0,minor triad,minor triad,C,C,True,True,True,False,True,True,True,False
256,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
257,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
258,c,c,5,5,None,None,2,0,dominant seventh chord,minor triad,G,G,True,True,True,False,False,True,True,False
259,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
260,c,c,5,5,None,None,2,0,dominant seventh chord,dominant seventh chord,G,G,True,True,True,False,True,True,True,False
